,Prevalence,F1,PPV,NPV,Recall,Accuracy,Balanced Accuracy,Naive Accuracy,Naive Balanced Accuracy
Overall,0.2925432098765432,0.6739495798319327,0.6710174029451138,0.8659100462379151,0.6769074949358541,0.808395061728395,0.7698372460020608,0.7074567901234567,0.5
blood_and_lymphatic_system_disorders,0.38533333333333336,0.7303182579564488,0.7077922077922078,0.8393665158371041,0.754325259515571,0.7853333333333333,0.7795487468944449,0.6146666666666667,0.5
cardiac_disorders,0.36666666666666664,0.575609756097561,0.5205882352941177,0.7609756097560976,0.6436363636363637,0.652,0.6502392344497607,0.6333333333333333,0.5
congenital_familial_and_genetic_disorders,0.025333333333333333,0.32,0.6666666666666666,0.9798387096774194,0.21052631578947367,0.9773333333333334,0.6038951688386494,0.9746666666666667,0.5
ear_and_labyrinth_disorders,0.15066666666666667,0.2857142857142857,0.4791666666666667,0.8717948717948718,0.20353982300884957,0.8466666666666667,0.5821466775954766,0.8493333333333333,0.5
endocrine_disorders,0.08933333333333333,0.2692307692307692,0.3783783783783784,0.9256661991584852,0.208955223880597,0.8986666666666666,0.5876401302419091,0.9106666666666666,0.5
eye_disorders,0.21866666666666668,0.5058823529411763,0.48863636363636365,0.8641114982578397,0.524390243902439,0.776,0.6854033130774995,0.7813333333333333,0.5
gastrointestinal_disorders,0.7973333333333333,0.884022708840227,0.8582677165354331,0.5391304347826087,0.9113712374581939,0.8093333333333333,0.6596329871501496,0.7973333333333333,0.5
general_disorders_and_administration_site_conditions,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5
hepatobiliary_disorders,0.188,0.41355932203389834,0.3961038961038961,0.8657718120805369,0.4326241134751773,0.7693333333333333,0.639957376934633,0.812,0.5
immune_system_disorders,0.09866666666666667,0.2608695652173913,0.36585365853658536,0.9167842031029619,0.20270270270270271,0.8866666666666667,0.5821205821205822,0.9013333333333333,0.5
infections_and_infestations,0.592,0.7792207792207791,0.75,0.6888888888888889,0.8108108108108109,0.728,0.7093269740328564,0.592,0.5
injury_poisoning_and_procedural_complications,0.39866666666666667,0.5410821643286573,0.675,0.7018181818181818,0.451505016722408,0.6946666666666667,0.6536904241039978,0.6013333333333333,0.5
investigations,0.376,0.6785714285714285,0.625748502994012,0.8245192307692307,0.7411347517730497,0.736,0.7370203673395163,0.624,0.5
metabolism_and_nutrition_disorders,0.3933333333333333,0.738993710691824,0.6891495601173021,0.8533007334963325,0.7966101694915254,0.7786666666666666,0.7818215682622462,0.6066666666666667,0.5
musculoskeletal_and_connective_tissue_disorders,0.48133333333333334,0.70042194092827,0.7114285714285714,0.72,0.6897506925207756,0.716,0.7150552948465061,0.5186666666666666,0.5
neoplasms_benign_malignant_and_unspecified_incl_cysts_and_polyps,0.22266666666666668,0.504297994269341,0.4835164835164835,0.8609154929577465,0.5269461077844312,0.7693333333333333,0.6828555581803802,0.7773333333333333,0.5
nervous_system_disorders,0.6986666666666667,0.808193668528864,0.7890909090909091,0.55,0.8282442748091603,0.7253333333333334,0.6574849692629872,0.6986666666666667,0.5
pregnancy_puerperium_and_perinatal_conditions,0.02,0.0,0.0,0.98,0.0,0.98,0.5,0.98,0.5
psychiatric_disorders,0.36933333333333335,0.6199261992619924,0.6339622641509434,0.7752577319587629,0.6064981949458483,0.7253333333333334,0.700712099587089,0.6306666666666667,0.5
renal_and_urinary_disorders,0.34933333333333333,0.6261859582542695,0.6226415094339622,0.8,0.6297709923664122,0.7373333333333333,0.7124264797897635,0.6506666666666667,0.5
reproductive_system_and_breast_disorders,0.15733333333333333,0.304147465437788,0.3333333333333333,0.869431643625192,0.2796610169491525,0.7986666666666666,0.5876153186011586,0.8426666666666667,0.5
respiratory_thoracic_and_mediastinal_disorders,0.544,0.7688679245283019,0.740909090909091,0.7354838709677419,0.7990196078431373,0.7386666666666667,0.732843137254902,0.544,0.5
skin_and_subcutaneous_tissue_disorders,0.472,0.6887417218543046,0.6483790523690773,0.7306590257879656,0.7344632768361582,0.6866666666666666,0.6892013353877761,0.528,0.5
social_circumstances,0.02266666666666667,0.1111111111111111,1.0,0.9786381842456608,0.058823529411764705,0.9786666666666667,0.5294117647058824,0.9773333333333334,0.5
surgical_and_medical_procedures,0.08133333333333333,0.1917808219178082,0.5833333333333334,0.926829268292683,0.11475409836065574,0.9213333333333333,0.5537486021556544,0.9186666666666666,0.5
vascular_disorders,0.38533333333333336,0.6555183946488294,0.6343042071197411,0.7891156462585034,0.6782006920415224,0.7253333333333334,0.7165406930923448,0.6146666666666667,0.5
product_issues,0.014666666666666666,0.15384615384615385,0.5,0.9866310160427807,0.09090909090909091,0.9853333333333333,0.5447779554680773,0.9853333333333333,0.5
