,Prevalence,F1,PPV,NPV,Recall,Accuracy,Balanced Accuracy,Naive Accuracy,Naive Balanced Accuracy
Overall,0.2925432098765432,0.6754327563249001,0.6661195009848982,0.8682017234072609,0.6850101282916948,0.8074074074074075,0.7715152554064924,0.7074567901234567,0.5
blood_and_lymphatic_system_disorders,0.38533333333333336,0.7357512953367876,0.7344827586206897,0.8347826086956521,0.7370242214532872,0.796,0.7849980109435633,0.6146666666666667,0.5
cardiac_disorders,0.36666666666666664,0.6656441717791411,0.5755968169761273,0.8445040214477212,0.7890909090909091,0.7093333333333334,0.7261244019138755,0.6333333333333333,0.5
congenital_familial_and_genetic_disorders,0.025333333333333333,0.0,0.0,0.9746666666666667,0.0,0.9746666666666667,0.5,0.9746666666666667,0.5
ear_and_labyrinth_disorders,0.15066666666666667,0.1726618705035971,0.46153846153846156,0.8604972375690608,0.10619469026548672,0.8466666666666667,0.5421083341437324,0.8493333333333333,0.5
endocrine_disorders,0.08933333333333333,0.0,0.0,0.9106666666666666,0.0,0.9106666666666666,0.5,0.9106666666666666,0.5
eye_disorders,0.21866666666666668,0.5248618784530386,0.4797979797979798,0.875,0.5792682926829268,0.7706666666666667,0.7017501872970948,0.7813333333333333,0.5
gastrointestinal_disorders,0.7973333333333333,0.8592964824120604,0.860738255033557,0.44805194805194803,0.8578595317725752,0.776,0.655903450096814,0.7973333333333333,0.5
general_disorders_and_administration_site_conditions,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5
hepatobiliary_disorders,0.188,0.4135338345864662,0.44,0.8624,0.3900709219858156,0.792,0.6375641966250918,0.812,0.5
immune_system_disorders,0.09866666666666667,0.0,0.0,0.9013333333333333,0.0,0.9013333333333333,0.5,0.9013333333333333,0.5
infections_and_infestations,0.592,0.7855626326963907,0.7429718875502008,0.7063492063492064,0.8333333333333334,0.7306666666666667,0.7075163398692811,0.592,0.5
injury_poisoning_and_procedural_complications,0.39866666666666667,0.5945945945945946,0.5666666666666667,0.7333333333333333,0.6254180602006689,0.66,0.6541724447344808,0.6013333333333333,0.5
investigations,0.376,0.6676783004552352,0.583554376657825,0.8337801608579088,0.7801418439716312,0.708,0.7223358792507728,0.624,0.5
metabolism_and_nutrition_disorders,0.3933333333333333,0.7475728155339806,0.7151702786377709,0.8501170960187353,0.7830508474576271,0.792,0.7904265226299125,0.6066666666666667,0.5
musculoskeletal_and_connective_tissue_disorders,0.48133333333333334,0.7311258278145696,0.700507614213198,0.7612359550561798,0.7645429362880887,0.7293333333333333,0.730600516987232,0.5186666666666666,0.5
neoplasms_benign_malignant_and_unspecified_incl_cysts_and_polyps,0.22266666666666668,0.5177664974619289,0.44933920704845814,0.875717017208413,0.6107784431137725,0.7466666666666667,0.6981851049188074,0.7773333333333333,0.5
nervous_system_disorders,0.6986666666666667,0.8055299539170506,0.7789661319073083,0.5396825396825397,0.833969465648855,0.7186666666666667,0.6426484496385868,0.6986666666666667,0.5
pregnancy_puerperium_and_perinatal_conditions,0.02,0.0,0.0,0.98,0.0,0.98,0.5,0.98,0.5
psychiatric_disorders,0.36933333333333335,0.6274509803921569,0.573134328358209,0.7951807228915663,0.6931407942238267,0.696,0.6954076064142389,0.6306666666666667,0.5
renal_and_urinary_disorders,0.34933333333333333,0.6433823529411764,0.6205673758865248,0.8141025641025641,0.6679389312977099,0.7413333333333333,0.7243383181078713,0.6506666666666667,0.5
reproductive_system_and_breast_disorders,0.15733333333333333,0.22754491017964068,0.3877551020408163,0.8587731811697575,0.16101694915254236,0.828,0.5567742973610813,0.8426666666666667,0.5
respiratory_thoracic_and_mediastinal_disorders,0.544,0.728538283062645,0.6916299559471366,0.6824324324324325,0.7696078431372549,0.688,0.6801255589955281,0.544,0.5
skin_and_subcutaneous_tissue_disorders,0.472,0.6817538896746818,0.6827195467422096,0.7153652392947103,0.6807909604519774,0.7,0.6989813388118473,0.528,0.5
social_circumstances,0.02266666666666667,0.0,0.0,0.9773333333333334,0.0,0.9773333333333334,0.5,0.9773333333333334,0.5
surgical_and_medical_procedures,0.08133333333333333,0.031746031746031744,0.5,0.9197860962566845,0.01639344262295082,0.9186666666666666,0.5074710319065407,0.9186666666666666,0.5
vascular_disorders,0.38533333333333336,0.6438356164383562,0.6372881355932203,0.778021978021978,0.6505190311418685,0.7226666666666667,0.7092074548334071,0.6146666666666667,0.5
product_issues,0.014666666666666666,0.0,0.0,0.9853333333333333,0.0,0.9853333333333333,0.5,0.9853333333333333,0.5
