,Prevalence,F1,PPV,NPV,Recall,Accuracy,Balanced Accuracy,Naive Accuracy,Naive Balanced Accuracy
Overall,0.2925432098765432,0.6390889298274997,0.634097706879362,0.8518830803822373,0.6441593517893315,0.7871604938271605,0.7452264021266914,0.7074567901234567,0.5
blood_and_lymphatic_system_disorders,0.38533333333333336,0.7126436781609196,0.678125,0.8325581395348837,0.7508650519031141,0.7666666666666667,0.7637188600079562,0.6146666666666667,0.5
cardiac_disorders,0.36666666666666664,0.5870967741935483,0.527536231884058,0.7703703703703704,0.6618181818181819,0.6586666666666666,0.6593301435406699,0.6333333333333333,0.5
congenital_familial_and_genetic_disorders,0.025333333333333333,0.09523809523809525,0.5,0.9759358288770054,0.05263157894736842,0.9746666666666667,0.5256317949456404,0.9746666666666667,0.5
ear_and_labyrinth_disorders,0.15066666666666667,0.11940298507462686,0.38095238095238093,0.8559670781893004,0.07079646017699115,0.8426666666666667,0.5251941484558424,0.8493333333333333,0.5
endocrine_disorders,0.08933333333333333,0.029411764705882353,1.0,0.9118825100133512,0.014925373134328358,0.912,0.5074626865671642,0.9106666666666666,0.5
eye_disorders,0.21866666666666668,0.48469387755102045,0.4166666666666667,0.867816091954023,0.5792682926829268,0.7306666666666667,0.6761529176725214,0.7813333333333333,0.5
gastrointestinal_disorders,0.7973333333333333,0.8461538461538461,0.8653846153846154,0.42134831460674155,0.8277591973244147,0.76,0.6605901249779969,0.7973333333333333,0.5
general_disorders_and_administration_site_conditions,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5
hepatobiliary_disorders,0.188,0.2982456140350877,0.39080459770114945,0.8386123680241327,0.24113475177304963,0.7866666666666666,0.577053418579464,0.812,0.5
immune_system_disorders,0.09866666666666667,0.07317073170731707,0.375,0.9043126684636119,0.04054054054054054,0.8986666666666666,0.5165720454181992,0.9013333333333333,0.5
infections_and_infestations,0.592,0.7628415300546447,0.7409766454352441,0.6594982078853047,0.786036036036036,0.7106666666666667,0.6936716127892598,0.592,0.5
injury_poisoning_and_procedural_complications,0.39866666666666667,0.5095986038394416,0.5328467153284672,0.6785714285714286,0.4882943143812709,0.6253333333333333,0.6022402835764448,0.6013333333333333,0.5
investigations,0.376,0.6433121019108281,0.5838150289017341,0.801980198019802,0.7163120567375887,0.7013333333333334,0.7043098745226405,0.624,0.5
metabolism_and_nutrition_disorders,0.3933333333333333,0.7116564417177915,0.6498599439775911,0.8396946564885496,0.7864406779661017,0.7493333333333333,0.7558577016204135,0.6066666666666667,0.5
musculoskeletal_and_connective_tissue_disorders,0.48133333333333334,0.6923076923076923,0.6443914081145584,0.7250755287009063,0.7479224376731302,0.68,0.6824445093249969,0.5186666666666666,0.5
neoplasms_benign_malignant_and_unspecified_incl_cysts_and_polyps,0.22266666666666668,0.4502617801047121,0.4,0.8485981308411215,0.5149700598802395,0.72,0.6468503815696223,0.7773333333333333,0.5
nervous_system_disorders,0.6986666666666667,0.7771428571428571,0.7756653992395437,0.48214285714285715,0.7786259541984732,0.688,0.6282510301965818,0.6986666666666667,0.5
pregnancy_puerperium_and_perinatal_conditions,0.02,0.0,0.0,0.98,0.0,0.98,0.5,0.98,0.5
psychiatric_disorders,0.36933333333333335,0.5805369127516778,0.542319749216301,0.7587006960556845,0.6245487364620939,0.6666666666666666,0.6579403301760787,0.6306666666666667,0.5
renal_and_urinary_disorders,0.34933333333333333,0.5893186003683242,0.5693950177935944,0.7825159914712153,0.6106870229007634,0.7026666666666667,0.681368101614316,0.6506666666666667,0.5
reproductive_system_and_breast_disorders,0.15733333333333333,0.31336405529953915,0.3434343434343434,0.8709677419354839,0.288135593220339,0.8013333333333333,0.5926437459772581,0.8426666666666667,0.5
respiratory_thoracic_and_mediastinal_disorders,0.544,0.6840855106888362,0.663594470046083,0.620253164556962,0.7058823529411765,0.6453333333333333,0.6394908840729274,0.544,0.5
skin_and_subcutaneous_tissue_disorders,0.472,0.6648122392211404,0.6547945205479452,0.7012987012987013,0.6751412429378532,0.6786666666666666,0.6784797123780175,0.528,0.5
social_circumstances,0.02266666666666667,0.0,0.0,0.9773333333333334,0.0,0.9773333333333334,0.5,0.9773333333333334,0.5
surgical_and_medical_procedures,0.08133333333333333,0.05882352941176471,0.2857142857142857,0.9205921938088829,0.03278688524590164,0.9146666666666666,0.5127649955982774,0.9186666666666666,0.5
vascular_disorders,0.38533333333333336,0.6262295081967214,0.5950155763239875,0.7715617715617715,0.6608996539792388,0.696,0.6894519961870164,0.6146666666666667,0.5
product_issues,0.014666666666666666,0.0,0.0,0.9853333333333333,0.0,0.9853333333333333,0.5,0.9853333333333333,0.5
