,Prevalence,F1,PPV,NPV,Recall,Accuracy,Balanced Accuracy,Naive Accuracy,Naive Balanced Accuracy
Overall,0.2925432098765432,0.5862554920003316,0.575989574849324,0.8307703210261498,0.5968939905469277,0.7535308641975309,0.7075981889074161,0.7074567901234567,0.5
blood_and_lymphatic_system_disorders,0.38533333333333336,0.5466893039049237,0.5366666666666666,0.7155555555555555,0.5570934256055363,0.644,0.627787493713831,0.6146666666666667,0.5
cardiac_disorders,0.36666666666666664,0.46956521739130436,0.45,0.6888888888888889,0.4909090909090909,0.5933333333333334,0.5717703349282297,0.6333333333333333,0.5
congenital_familial_and_genetic_disorders,0.025333333333333333,0.0,0.0,0.9746666666666667,0.0,0.9746666666666667,0.5,0.9746666666666667,0.5
ear_and_labyrinth_disorders,0.15066666666666667,0.0,0.0,0.8493333333333334,0.0,0.8493333333333334,0.5,0.8493333333333333,0.5
endocrine_disorders,0.08933333333333333,0.0,0.0,0.9106666666666666,0.0,0.9106666666666666,0.5,0.9106666666666666,0.5
eye_disorders,0.21866666666666668,0.26495726495726496,0.44285714285714284,0.8044117647058824,0.18902439024390244,0.7706666666666667,0.5612357446100058,0.7813333333333333,0.5
gastrointestinal_disorders,0.7973333333333333,0.887240356083086,0.7973333333333333,0.0,1.0,0.7973333333333333,0.5,0.7973333333333333,0.5
general_disorders_and_administration_site_conditions,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5
hepatobiliary_disorders,0.188,0.0,0.0,0.8104838709677419,0.0,0.804,0.49507389162561577,0.812,0.5
immune_system_disorders,0.09866666666666667,0.0,0.0,0.9013333333333333,0.0,0.9013333333333333,0.5,0.9013333333333333,0.5
infections_and_infestations,0.592,0.7364102564102564,0.6760828625235404,0.6118721461187214,0.8085585585585585,0.6573333333333333,0.6232335276452923,0.592,0.5
injury_poisoning_and_procedural_complications,0.39866666666666667,0.4440497335701598,0.4734848484848485,0.6419753086419753,0.4180602006688963,0.5826666666666667,0.554928104769038,0.6013333333333333,0.5
investigations,0.376,0.50231124807396,0.444141689373297,0.6892950391644909,0.5780141843971631,0.5693333333333334,0.5710583742498636,0.624,0.5
metabolism_and_nutrition_disorders,0.3933333333333333,0.5038639876352395,0.4630681818181818,0.6683417085427136,0.5525423728813559,0.572,0.5685788787483703,0.6066666666666667,0.5
musculoskeletal_and_connective_tissue_disorders,0.48133333333333334,0.6263345195729538,0.5477178423236515,0.6380597014925373,0.7313019390581718,0.58,0.5854453140020937,0.5186666666666666,0.5
neoplasms_benign_malignant_and_unspecified_incl_cysts_and_polyps,0.22266666666666668,0.2708333333333333,0.32231404958677684,0.7965023847376789,0.23353293413173654,0.72,0.5464405665512885,0.7773333333333333,0.5
nervous_system_disorders,0.6986666666666667,0.8271507498026835,0.7052489905787349,1.0,1.0,0.708,0.5154867256637168,0.6986666666666667,0.5
pregnancy_puerperium_and_perinatal_conditions,0.02,0.0,0.0,0.98,0.0,0.98,0.5,0.98,0.5
psychiatric_disorders,0.36933333333333335,0.44331641285956,0.4171974522292994,0.6651376146788991,0.4729241877256318,0.5613333333333334,0.5430160050678898,0.6306666666666667,0.5
renal_and_urinary_disorders,0.34933333333333333,0.4980079681274901,0.5208333333333334,0.7313725490196078,0.4770992366412214,0.664,0.6207217494681517,0.6506666666666667,0.5
reproductive_system_and_breast_disorders,0.15733333333333333,0.0,0.0,0.8426666666666667,0.0,0.8426666666666667,0.5,0.8426666666666667,0.5
respiratory_thoracic_and_mediastinal_disorders,0.544,0.6718403547671841,0.6133603238866396,0.58984375,0.7426470588235294,0.6053333333333333,0.5920837633298934,0.544,0.5
skin_and_subcutaneous_tissue_disorders,0.472,0.6031746031746031,0.5311827956989247,0.624561403508772,0.6977401129943502,0.5666666666666667,0.5736175312446499,0.528,0.5
social_circumstances,0.02266666666666667,0.0,0.0,0.9773333333333334,0.0,0.9773333333333334,0.5,0.9773333333333334,0.5
surgical_and_medical_procedures,0.08133333333333333,0.0,0.0,0.9186666666666666,0.0,0.9186666666666666,0.5,0.9186666666666666,0.5
vascular_disorders,0.38533333333333336,0.534181240063593,0.49411764705882355,0.7048780487804878,0.5813148788927336,0.6093333333333333,0.6041064633075381,0.6146666666666667,0.5
product_issues,0.014666666666666666,0.0,0.0,0.9853333333333333,0.0,0.9853333333333333,0.5,0.9853333333333333,0.5
